model_key,gravity_mode,category,questions,cells,micro_accuracy,layout_macro_accuracy
gemini,all,__overall__,204,132,0.9656862745098039,0.9734848484848485
gemini,all,red_endpoint_horizontal,32,32,1.0,1.0
gemini,all,red_visible_motion,40,40,0.825,0.875
gemini,all,tool_vertical_direction,132,132,1.0,1.0
gemini,downward,__overall__,102,66,0.9607843137254902,0.9696969696969697
gemini,downward,red_endpoint_horizontal,16,16,1.0,1.0
gemini,downward,red_visible_motion,20,20,0.8,0.8
gemini,downward,tool_vertical_direction,66,66,1.0,1.0
gemini,upward,__overall__,102,66,0.9705882352941176,0.9772727272727273
gemini,upward,red_endpoint_horizontal,16,16,1.0,1.0
gemini,upward,red_visible_motion,20,20,0.85,0.85
gemini,upward,tool_vertical_direction,66,66,1.0,1.0
gpt,all,__overall__,204,132,0.9509803921568627,0.9621212121212122
gpt,all,red_endpoint_horizontal,32,32,1.0,1.0
gpt,all,red_visible_motion,40,40,0.75,0.8214285714285714
gpt,all,tool_vertical_direction,132,132,1.0,1.0
gpt,downward,__overall__,102,66,0.9509803921568627,0.9621212121212122
gpt,downward,red_endpoint_horizontal,16,16,1.0,1.0
gpt,downward,red_visible_motion,20,20,0.75,0.75
gpt,downward,tool_vertical_direction,66,66,1.0,1.0
gpt,upward,__overall__,102,66,0.9509803921568627,0.9621212121212122
gpt,upward,red_endpoint_horizontal,16,16,1.0,1.0
gpt,upward,red_visible_motion,20,20,0.75,0.75
gpt,upward,tool_vertical_direction,66,66,1.0,1.0
qwen,all,__overall__,204,132,0.9705882352941176,0.9772727272727273
qwen,all,red_endpoint_horizontal,32,32,1.0,1.0
qwen,all,red_visible_motion,40,40,0.85,0.8928571428571429
qwen,all,tool_vertical_direction,132,132,1.0,1.0
qwen,downward,__overall__,102,66,0.9705882352941176,0.9772727272727273
qwen,downward,red_endpoint_horizontal,16,16,1.0,1.0
qwen,downward,red_visible_motion,20,20,0.85,0.85
qwen,downward,tool_vertical_direction,66,66,1.0,1.0
qwen,upward,__overall__,102,66,0.9705882352941176,0.9772727272727273
qwen,upward,red_endpoint_horizontal,16,16,1.0,1.0
qwen,upward,red_visible_motion,20,20,0.85,0.85
qwen,upward,tool_vertical_direction,66,66,1.0,1.0
