model_key,input_condition,category,questions,correct,accuracy
gemini,image_only,__overall__,677,659,0.9734121122599705
gemini,image_only,coarse_location,83,83,1.0
gemini,image_only,containment,66,66,1.0
gemini,image_only,count_color,132,132,1.0
gemini,image_only,movability,66,66,1.0
gemini,image_only,movable_object_relation,66,62,0.9393939393939394
gemini,image_only,relative_position,132,130,0.9848484848484849
gemini,image_only,shape,132,120,0.9090909090909091
gemini,json_only,__overall__,677,668,0.9867060561299852
gemini,json_only,coarse_location,83,83,1.0
gemini,json_only,containment,66,66,1.0
gemini,json_only,count_color,132,132,1.0
gemini,json_only,movability,66,66,1.0
gemini,json_only,movable_object_relation,66,59,0.8939393939393939
gemini,json_only,relative_position,132,130,0.9848484848484849
gemini,json_only,shape,132,132,1.0
gpt,image_only,__overall__,677,643,0.9497784342688331
gpt,image_only,coarse_location,83,83,1.0
gpt,image_only,containment,66,66,1.0
gpt,image_only,count_color,132,132,1.0
gpt,image_only,movability,66,66,1.0
gpt,image_only,movable_object_relation,66,58,0.8787878787878788
gpt,image_only,relative_position,132,125,0.946969696969697
gpt,image_only,shape,132,113,0.8560606060606061
gpt,json_only,__overall__,677,662,0.9778434268833087
gpt,json_only,coarse_location,83,83,1.0
gpt,json_only,containment,66,66,1.0
gpt,json_only,count_color,132,132,1.0
gpt,json_only,movability,66,66,1.0
gpt,json_only,movable_object_relation,66,55,0.8333333333333334
gpt,json_only,relative_position,132,128,0.9696969696969697
gpt,json_only,shape,132,132,1.0
qwen,image_only,__overall__,677,645,0.9527326440177253
qwen,image_only,coarse_location,83,83,1.0
qwen,image_only,containment,66,66,1.0
qwen,image_only,count_color,132,132,1.0
qwen,image_only,movability,66,66,1.0
qwen,image_only,movable_object_relation,66,57,0.8636363636363636
qwen,image_only,relative_position,132,129,0.9772727272727273
qwen,image_only,shape,132,112,0.8484848484848485
qwen,json_only,__overall__,677,565,0.8345642540620384
qwen,json_only,coarse_location,83,75,0.9036144578313253
qwen,json_only,containment,66,66,1.0
qwen,json_only,count_color,132,100,0.7575757575757576
qwen,json_only,movability,66,51,0.7727272727272727
qwen,json_only,movable_object_relation,66,41,0.6212121212121212
qwen,json_only,relative_position,132,100,0.7575757575757576
qwen,json_only,shape,132,132,1.0
