call_id,cell_id,layout_id,gravity_mode,model_key,format_valid,response_attempt_count,correct,questions,accuracy,error,provider_cost_usd,prompt_tokens,completion_tokens
BackUp_10_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_10_downward,BackUp_10,downward,gemini,1,1,2,2,1.0,,0.071716,35552,51
BackUp_10_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_10_downward,BackUp_10,downward,gpt,1,1,2,2,1.0,,0.0263675,20670,53
BackUp_10_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_10_upward,BackUp_10,upward,gemini,1,1,1,1,1.0,,0.071984,35410,97
BackUp_10_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_10_upward,BackUp_10,upward,gpt,1,1,1,1,1.0,,0.0261275,20590,39
BackUp_2_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_2_downward,BackUp_2,downward,gemini,1,1,1,1,1.0,,0.07259,35407,148
BackUp_2_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_2_downward,BackUp_2,downward,gpt,1,1,1,1,1.0,,0.0261275,20590,39
BackUp_2_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_2_upward,BackUp_2,upward,gemini,1,1,2,2,1.0,,0.074416,35546,277
BackUp_2_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_2_upward,BackUp_2,upward,gpt,1,1,2,2,1.0,,0.0263675,20670,53
BackUp_3_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_3_downward,BackUp_3,downward,gemini,1,1,2,2,1.0,,0.07168,35546,49
BackUp_3_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_3_downward,BackUp_3,downward,gpt,1,1,1,2,0.5,,0.0263675,20670,53
BackUp_3_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_3_upward,BackUp_3,upward,gemini,1,1,2,2,1.0,,0.075184,35546,341
BackUp_3_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_3_upward,BackUp_3,upward,gpt,1,1,2,2,1.0,,0.0263675,20670,53
BackUp_4_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_4_downward,BackUp_4,downward,gemini,1,1,2,2,1.0,,0.075028,35546,328
BackUp_4_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_4_downward,BackUp_4,downward,gpt,1,1,2,2,1.0,,0.0263675,20670,53
BackUp_4_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_4_upward,BackUp_4,upward,gemini,1,1,1,1,1.0,,0.07229,35407,123
BackUp_4_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_4_upward,BackUp_4,upward,gpt,1,1,1,1,1.0,,0.0261275,20590,39
BackUp_5_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_5_downward,BackUp_5,downward,gemini,1,1,2,2,1.0,,0.074044,35540,247
BackUp_5_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_5_downward,BackUp_5,downward,gpt,1,1,2,2,1.0,,0.02636875,20663,54
BackUp_5_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_5_upward,BackUp_5,upward,gemini,1,1,2,2,1.0,,0.074392,35540,276
BackUp_5_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_5_upward,BackUp_5,upward,gpt,1,1,1,2,0.5,,0.02636875,20663,54
BackUp_6_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_6_downward,BackUp_6,downward,gemini,1,1,1,1,1.0,,0.072446,35407,136
BackUp_6_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_6_downward,BackUp_6,downward,gpt,1,1,1,1,1.0,,0.0261275,20590,39
BackUp_6_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_6_upward,BackUp_6,upward,gemini,1,1,1,1,1.0,,0.072446,35407,136
BackUp_6_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_6_upward,BackUp_6,upward,gpt,1,1,1,1,1.0,,0.0261275,20590,39
BackUp_7_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_7_downward,BackUp_7,downward,gemini,1,1,2,2,1.0,,0.07168,35540,50
BackUp_7_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_7_downward,BackUp_7,downward,gpt,1,1,2,2,1.0,,0.02636875,20663,54
BackUp_7_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_7_upward,BackUp_7,upward,gemini,1,1,1,1,1.0,,0.0709,35294,26
BackUp_7_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_7_upward,BackUp_7,upward,gpt,1,1,1,1,1.0,,0.0261275,20590,39
BackUp_8_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_8_downward,BackUp_8,downward,gemini,1,1,2,2,1.0,,0.075232,35546,345
BackUp_8_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_8_downward,BackUp_8,downward,gpt,1,1,2,2,1.0,,0.0263675,20670,53
BackUp_8_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_8_upward,BackUp_8,upward,gemini,1,1,2,2,1.0,,0.075304,35540,352
BackUp_8_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_8_upward,BackUp_8,upward,gpt,1,1,2,2,1.0,,0.02636875,20663,54
BackUp_9_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_9_downward,BackUp_9,downward,gemini,1,1,1,1,1.0,,0.072218,35407,117
BackUp_9_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_9_downward,BackUp_9,downward,gpt,1,1,1,1,1.0,,0.0261275,20590,39
BackUp_9_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_9_upward,BackUp_9,upward,gemini,1,1,1,1,1.0,,0.072674,35407,155
BackUp_9_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_9_upward,BackUp_9,upward,gpt,1,1,1,1,1.0,,0.0261275,20590,39
BalanceUnder_10_downward:gemini:temporal_rollout_images_qualitative_v3,BalanceUnder_10_downward,BalanceUnder_10,downward,gemini,1,1,3,3,1.0,,0.075792,35688,368
