call_id,layout_id,model_key,input_condition,question_id,category,observed,expected,correct,primary_scored,exclusion_reason,format_valid,call_error
task_asset_vqa_v2:BackUp_2:gemini:image_only,BackUp_2,gemini,image_only,BackUp_2:red_shape,shape,D,D,1,1,,1,
task_asset_vqa_v2:BackUp_2:gemini:image_only,BackUp_2,gemini,image_only,BackUp_2:goal_shape,shape,A,A,1,1,,1,
task_asset_vqa_v2:BackUp_2:gemini:image_only,BackUp_2,gemini,image_only,BackUp_2:blue_count,count_color,B,B,1,1,,1,
task_asset_vqa_v2:BackUp_2:gemini:image_only,BackUp_2,gemini,image_only,BackUp_2:colored_count,count_color,C,C,1,1,,1,
task_asset_vqa_v2:BackUp_2:gemini:image_only,BackUp_2,gemini,image_only,BackUp_2:movable_count,movability,D,D,1,1,,1,
task_asset_vqa_v2:BackUp_2:gemini:image_only,BackUp_2,gemini,image_only,BackUp_2:horizontal_relation,relative_position,B,B,1,1,,1,
task_asset_vqa_v2:BackUp_2:gemini:image_only,BackUp_2,gemini,image_only,BackUp_2:vertical_relation,relative_position,C,C,1,1,,1,
task_asset_vqa_v2:BackUp_2:gemini:image_only,BackUp_2,gemini,image_only,BackUp_2:red_quadrant,coarse_location,C,C,1,0,within_60px_of_x_or_y_divider,1,
task_asset_vqa_v2:BackUp_2:gemini:image_only,BackUp_2,gemini,image_only,BackUp_2:goal_quadrant,coarse_location,D,D,1,1,,1,
task_asset_vqa_v2:BackUp_2:gemini:image_only,BackUp_2,gemini,image_only,BackUp_2:containment,containment,A,A,1,1,,1,
task_asset_vqa_v2:BackUp_2:gemini:image_only,BackUp_2,gemini,image_only,BackUp_2:movable_object_relation,movable_object_relation,D,D,1,1,,1,
task_asset_vqa_v2:BackUp_4:gemini:json_only,BackUp_4,gemini,json_only,BackUp_4:red_shape,shape,B,B,1,1,,1,
task_asset_vqa_v2:BackUp_4:gemini:json_only,BackUp_4,gemini,json_only,BackUp_4:goal_shape,shape,C,C,1,1,,1,
