model_key,gravity_mode,category,questions,cells,micro_accuracy,layout_macro_accuracy
gemini,all,__overall__,204,132,0.9852941176470589,0.9848484848484849
gemini,all,red_endpoint_horizontal,32,32,1.0,1.0
gemini,all,red_visible_motion,40,40,0.925,0.8928571428571429
gemini,all,tool_vertical_direction,132,132,1.0,1.0
gemini,downward,__overall__,102,66,0.9803921568627451,0.9848484848484849
gemini,downward,red_endpoint_horizontal,16,16,1.0,1.0
gemini,downward,red_visible_motion,20,20,0.9,0.9
gemini,downward,tool_vertical_direction,66,66,1.0,1.0
gemini,upward,__overall__,102,66,0.9901960784313726,0.9924242424242424
gemini,upward,red_endpoint_horizontal,16,16,1.0,1.0
gemini,upward,red_visible_motion,20,20,0.95,0.95
gemini,upward,tool_vertical_direction,66,66,1.0,1.0
gpt,all,__overall__,204,132,0.946078431372549,0.9558080808080809
gpt,all,red_endpoint_horizontal,32,32,0.90625,0.9090909090909091
gpt,all,red_visible_motion,40,40,0.8,0.8214285714285714
gpt,all,tool_vertical_direction,132,132,1.0,1.0
gpt,downward,__overall__,102,66,0.9411764705882353,0.9545454545454546
gpt,downward,red_endpoint_horizontal,16,16,0.875,0.875
gpt,downward,red_visible_motion,20,20,0.8,0.8
gpt,downward,tool_vertical_direction,66,66,1.0,1.0
gpt,upward,__overall__,102,66,0.9509803921568627,0.9646464646464646
gpt,upward,red_endpoint_horizontal,16,16,0.9375,0.9375
gpt,upward,red_visible_motion,20,20,0.8,0.8
gpt,upward,tool_vertical_direction,66,66,1.0,1.0
qwen,all,__overall__,204,132,0.9803921568627451,0.9823232323232323
qwen,all,red_endpoint_horizontal,32,32,0.96875,0.9772727272727273
qwen,all,red_visible_motion,40,40,0.95,0.9285714285714286
qwen,all,tool_vertical_direction,132,132,0.9924242424242424,0.9924242424242424
qwen,downward,__overall__,102,66,0.9901960784313726,0.9924242424242424
qwen,downward,red_endpoint_horizontal,16,16,1.0,1.0
qwen,downward,red_visible_motion,20,20,0.95,0.95
qwen,downward,tool_vertical_direction,66,66,1.0,1.0
qwen,upward,__overall__,102,66,0.9705882352941176,0.9772727272727273
qwen,upward,red_endpoint_horizontal,16,16,0.9375,0.9375
qwen,upward,red_visible_motion,20,20,0.95,0.95
qwen,upward,tool_vertical_direction,66,66,0.9848484848484849,0.9848484848484849
