call_id,cell_id,layout_id,gravity_mode,model_key,format_valid,response_attempt_count,correct,questions,accuracy,error,provider_cost_usd,prompt_tokens,completion_tokens
BackUp_10_downward:gemini:temporal_rollout_json_qualitative_v3,BackUp_10_downward,BackUp_10,downward,gemini,1,1,2,2,1.0,,0.013088,4906,273
BackUp_10_downward:gpt:temporal_rollout_json_qualitative_v3,BackUp_10_downward,BackUp_10,downward,gpt,1,1,2,2,1.0,,0.0053075,3822,53
BackUp_10_upward:gemini:temporal_rollout_json_qualitative_v3,BackUp_10_upward,BackUp_10,upward,gemini,1,1,1,1,1.0,,0.011878,4733,201
BackUp_10_upward:gpt:temporal_rollout_json_qualitative_v3,BackUp_10_upward,BackUp_10,upward,gpt,1,1,1,1,1.0,,0.00506375,3739,39
BackUp_2_downward:gemini:temporal_rollout_json_qualitative_v3,BackUp_2_downward,BackUp_2,downward,gemini,1,1,1,1,1.0,,0.009426,3609,184
BackUp_2_downward:gpt:temporal_rollout_json_qualitative_v3,BackUp_2_downward,BackUp_2,downward,gpt,1,1,1,1,1.0,,0.00394,2840,39
BackUp_2_upward:gemini:temporal_rollout_json_qualitative_v3,BackUp_2_upward,BackUp_2,upward,gemini,1,1,2,2,1.0,,0.010696,3914,239
BackUp_2_upward:gpt:temporal_rollout_json_qualitative_v3,BackUp_2_upward,BackUp_2,upward,gpt,1,1,2,2,1.0,,0.00418,2920,53
BackUp_3_downward:gemini:temporal_rollout_json_qualitative_v3,BackUp_3_downward,BackUp_3,downward,gemini,1,1,2,2,1.0,,0.010772,3898,248
BackUp_3_downward:gpt:temporal_rollout_json_qualitative_v3,BackUp_3_downward,BackUp_3,downward,gpt,1,1,2,2,1.0,,0.0041875,2926,53
BackUp_3_upward:gemini:temporal_rollout_json_qualitative_v3,BackUp_3_upward,BackUp_3,upward,gemini,1,1,2,2,1.0,,0.01115,3967,268
BackUp_3_upward:gpt:temporal_rollout_json_qualitative_v3,BackUp_3_upward,BackUp_3,upward,gpt,1,1,2,2,1.0,,0.0041875,2926,53
BackUp_4_downward:gemini:temporal_rollout_json_qualitative_v3,BackUp_4_downward,BackUp_4,downward,gemini,1,1,2,2,1.0,,0.01318,5096,249
BackUp_4_downward:gpt:temporal_rollout_json_qualitative_v3,BackUp_4_downward,BackUp_4,downward,gpt,1,1,2,2,1.0,,0.00530625,3821,53
BackUp_4_upward:gemini:temporal_rollout_json_qualitative_v3,BackUp_4_upward,BackUp_4,upward,gemini,1,1,1,1,1.0,,0.012254,4981,191
BackUp_4_upward:gpt:temporal_rollout_json_qualitative_v3,BackUp_4_upward,BackUp_4,upward,gpt,1,1,1,1,1.0,,0.00504375,3723,39
BackUp_5_downward:gemini:temporal_rollout_json_qualitative_v3,BackUp_5_downward,BackUp_5,downward,gemini,1,1,2,2,1.0,,0.015026,3445,678
BackUp_5_downward:gpt:temporal_rollout_json_qualitative_v3,BackUp_5_downward,BackUp_5,downward,gpt,1,1,1,2,0.5,,0.00412125,2865,54
BackUp_5_upward:gemini:temporal_rollout_json_qualitative_v3,BackUp_5_upward,BackUp_5,upward,gemini,1,1,2,2,1.0,,0.012196,3626,412
BackUp_5_upward:gpt:temporal_rollout_json_qualitative_v3,BackUp_5_upward,BackUp_5,upward,gpt,1,1,1,2,0.5,,0.0041,2848,54
BackUp_6_downward:gemini:temporal_rollout_json_qualitative_v3,BackUp_6_downward,BackUp_6,downward,gemini,1,1,1,1,1.0,,0.009018,3747,127
BackUp_6_downward:gpt:temporal_rollout_json_qualitative_v3,BackUp_6_downward,BackUp_6,downward,gpt,1,1,1,1,1.0,,0.00394125,2841,39
BackUp_6_upward:gemini:temporal_rollout_json_qualitative_v3,BackUp_6_upward,BackUp_6,upward,gemini,1,1,1,1,1.0,,0.009652,3704,187
BackUp_6_upward:gpt:temporal_rollout_json_qualitative_v3,BackUp_6_upward,BackUp_6,upward,gpt,1,1,1,1,1.0,,0.00394125,2841,39
BackUp_7_downward:gemini:temporal_rollout_json_qualitative_v3,BackUp_7_downward,BackUp_7,downward,gemini,1,1,2,2,1.0,,0.014174,4999,348
BackUp_7_downward:gpt:temporal_rollout_json_qualitative_v3,BackUp_7_downward,BackUp_7,downward,gpt,1,1,2,2,1.0,,0.0052575,3774,54
BackUp_7_upward:gemini:temporal_rollout_json_qualitative_v3,BackUp_7_upward,BackUp_7,upward,gemini,1,1,1,1,1.0,,0.012202,5009,182
BackUp_7_upward:gpt:temporal_rollout_json_qualitative_v3,BackUp_7_upward,BackUp_7,upward,gpt,1,1,1,1,1.0,,0.00504875,3727,39
BackUp_8_downward:gemini:temporal_rollout_json_qualitative_v3,BackUp_8_downward,BackUp_8,downward,gemini,1,1,2,2,1.0,,0.013526,4951,302
BackUp_8_downward:gpt:temporal_rollout_json_qualitative_v3,BackUp_8_downward,BackUp_8,downward,gpt,1,1,2,2,1.0,,0.0053025,3818,53
BackUp_8_upward:gemini:temporal_rollout_json_qualitative_v3,BackUp_8_upward,BackUp_8,upward,gemini,1,1,2,2,1.0,,0.014362,5111,345
BackUp_8_upward:gpt:temporal_rollout_json_qualitative_v3,BackUp_8_upward,BackUp_8,upward,gpt,1,1,2,2,1.0,,0.00530375,3811,54
BackUp_9_downward:gemini:temporal_rollout_json_qualitative_v3,BackUp_9_downward,BackUp_9,downward,gemini,1,1,1,1,1.0,,0.012324,4806,226
BackUp_9_downward:gpt:temporal_rollout_json_qualitative_v3,BackUp_9_downward,BackUp_9,downward,gpt,1,1,1,1,1.0,,0.0050325,3714,39
BackUp_9_upward:gemini:temporal_rollout_json_qualitative_v3,BackUp_9_upward,BackUp_9,upward,gemini,1,1,1,1,1.0,,0.012542,4843,238
BackUp_9_upward:gpt:temporal_rollout_json_qualitative_v3,BackUp_9_upward,BackUp_9,upward,gpt,1,1,1,1,1.0,,0.0050325,3714,39
BalanceUnder_10_downward:gemini:temporal_rollout_json_qualitative_v3,BalanceUnder_10_downward,BalanceUnder_10,downward,gemini,1,1,3,3,1.0,,0.016994,6415,347
BalanceUnder_10_downward:gpt:temporal_rollout_json_qualitative_v3,BalanceUnder_10_downward,BalanceUnder_10,downward,gpt,1,1,3,3,1.0,,0.00651625,4669,68
BalanceUnder_10_upward:gemini:temporal_rollout_json_qualitative_v3,BalanceUnder_10_upward,BalanceUnder_10,upward,gemini,1,1,2,2,1.0,,0.015754,6167,285
BalanceUnder_10_upward:gpt:temporal_rollout_json_qualitative_v3,BalanceUnder_10_upward,BalanceUnder_10,upward,gpt,1,1,2,2,1.0,,0.00630375,4619,53
BalanceUnder_2_downward:gemini:temporal_rollout_json_qualitative_v3,BalanceUnder_2_downward,BalanceUnder_2,downward,gemini,1,1,1,1,1.0,,0.014584,6188,184
