call_id,cell_id,layout_id,gravity_mode,model_key,model_id,question_id,category,observed,expected,correct,format_valid,response_attempt_count
BackUp_10_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_10_downward,BackUp_10,downward,gemini,google/gemini-3.1-pro-preview,BackUp_10_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_10_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_10_downward,BackUp_10,downward,gemini,google/gemini-3.1-pro-preview,BackUp_10_downward:red_endpoint_horizontal_v3,red_endpoint_horizontal,B,B,1,1,1
BackUp_10_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_10_downward,BackUp_10,downward,gpt,openai/gpt-5,BackUp_10_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_10_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_10_downward,BackUp_10,downward,gpt,openai/gpt-5,BackUp_10_downward:red_endpoint_horizontal_v3,red_endpoint_horizontal,B,B,1,1,1
BackUp_10_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_10_upward,BackUp_10,upward,gemini,google/gemini-3.1-pro-preview,BackUp_10_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_10_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_10_upward,BackUp_10,upward,gpt,openai/gpt-5,BackUp_10_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_2_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_2_downward,BackUp_2,downward,gemini,google/gemini-3.1-pro-preview,BackUp_2_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_2_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_2_downward,BackUp_2,downward,gpt,openai/gpt-5,BackUp_2_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_2_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_2_upward,BackUp_2,upward,gemini,google/gemini-3.1-pro-preview,BackUp_2_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_2_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_2_upward,BackUp_2,upward,gemini,google/gemini-3.1-pro-preview,BackUp_2_upward:red_endpoint_horizontal_v3,red_endpoint_horizontal,A,A,1,1,1
BackUp_2_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_2_upward,BackUp_2,upward,gpt,openai/gpt-5,BackUp_2_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_2_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_2_upward,BackUp_2,upward,gpt,openai/gpt-5,BackUp_2_upward:red_endpoint_horizontal_v3,red_endpoint_horizontal,A,A,1,1,1
BackUp_3_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_3_downward,BackUp_3,downward,gemini,google/gemini-3.1-pro-preview,BackUp_3_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_3_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_3_downward,BackUp_3,downward,gemini,google/gemini-3.1-pro-preview,BackUp_3_downward:red_endpoint_horizontal_v3,red_endpoint_horizontal,B,B,1,1,1
BackUp_3_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_3_downward,BackUp_3,downward,gpt,openai/gpt-5,BackUp_3_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_3_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_3_downward,BackUp_3,downward,gpt,openai/gpt-5,BackUp_3_downward:red_endpoint_horizontal_v3,red_endpoint_horizontal,A,B,0,1,1
BackUp_3_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_3_upward,BackUp_3,upward,gemini,google/gemini-3.1-pro-preview,BackUp_3_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BackUp_3_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_3_upward,BackUp_3,upward,gemini,google/gemini-3.1-pro-preview,BackUp_3_upward:red_endpoint_horizontal_v3,red_endpoint_horizontal,A,A,1,1,1
BackUp_3_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_3_upward,BackUp_3,upward,gpt,openai/gpt-5,BackUp_3_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BackUp_3_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_3_upward,BackUp_3,upward,gpt,openai/gpt-5,BackUp_3_upward:red_endpoint_horizontal_v3,red_endpoint_horizontal,A,A,1,1,1
BackUp_4_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_4_downward,BackUp_4,downward,gemini,google/gemini-3.1-pro-preview,BackUp_4_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_4_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_4_downward,BackUp_4,downward,gemini,google/gemini-3.1-pro-preview,BackUp_4_downward:red_endpoint_horizontal_v3,red_endpoint_horizontal,B,B,1,1,1
BackUp_4_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_4_downward,BackUp_4,downward,gpt,openai/gpt-5,BackUp_4_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_4_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_4_downward,BackUp_4,downward,gpt,openai/gpt-5,BackUp_4_downward:red_endpoint_horizontal_v3,red_endpoint_horizontal,B,B,1,1,1
BackUp_4_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_4_upward,BackUp_4,upward,gemini,google/gemini-3.1-pro-preview,BackUp_4_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_4_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_4_upward,BackUp_4,upward,gpt,openai/gpt-5,BackUp_4_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_5_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_5_downward,BackUp_5,downward,gemini,google/gemini-3.1-pro-preview,BackUp_5_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_5_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_5_downward,BackUp_5,downward,gemini,google/gemini-3.1-pro-preview,BackUp_5_downward:red_visibly_moves_v3,red_visible_motion,A,A,1,1,1
BackUp_5_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_5_downward,BackUp_5,downward,gpt,openai/gpt-5,BackUp_5_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_5_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_5_downward,BackUp_5,downward,gpt,openai/gpt-5,BackUp_5_downward:red_visibly_moves_v3,red_visible_motion,A,A,1,1,1
BackUp_5_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_5_upward,BackUp_5,upward,gemini,google/gemini-3.1-pro-preview,BackUp_5_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_5_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_5_upward,BackUp_5,upward,gemini,google/gemini-3.1-pro-preview,BackUp_5_upward:red_visibly_moves_v3,red_visible_motion,A,A,1,1,1
BackUp_5_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_5_upward,BackUp_5,upward,gpt,openai/gpt-5,BackUp_5_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_5_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_5_upward,BackUp_5,upward,gpt,openai/gpt-5,BackUp_5_upward:red_visibly_moves_v3,red_visible_motion,B,A,0,1,1
BackUp_6_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_6_downward,BackUp_6,downward,gemini,google/gemini-3.1-pro-preview,BackUp_6_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BackUp_6_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_6_downward,BackUp_6,downward,gpt,openai/gpt-5,BackUp_6_downward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BackUp_6_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_6_upward,BackUp_6,upward,gemini,google/gemini-3.1-pro-preview,BackUp_6_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_6_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_6_upward,BackUp_6,upward,gpt,openai/gpt-5,BackUp_6_upward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_7_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_7_downward,BackUp_7,downward,gemini,google/gemini-3.1-pro-preview,BackUp_7_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_7_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_7_downward,BackUp_7,downward,gemini,google/gemini-3.1-pro-preview,BackUp_7_downward:red_visibly_moves_v3,red_visible_motion,B,B,1,1,1
BackUp_7_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_7_downward,BackUp_7,downward,gpt,openai/gpt-5,BackUp_7_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_7_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_7_downward,BackUp_7,downward,gpt,openai/gpt-5,BackUp_7_downward:red_visibly_moves_v3,red_visible_motion,B,B,1,1,1
BackUp_7_upward:gemini:temporal_rollout_images_qualitative_v3,BackUp_7_upward,BackUp_7,upward,gemini,google/gemini-3.1-pro-preview,BackUp_7_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BackUp_7_upward:gpt:temporal_rollout_images_qualitative_v3,BackUp_7_upward,BackUp_7,upward,gpt,openai/gpt-5,BackUp_7_upward:tool_vertical_direction_v3,tool_vertical_direction,B,B,1,1,1
BackUp_8_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_8_downward,BackUp_8,downward,gemini,google/gemini-3.1-pro-preview,BackUp_8_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_8_downward:gemini:temporal_rollout_images_qualitative_v3,BackUp_8_downward,BackUp_8,downward,gemini,google/gemini-3.1-pro-preview,BackUp_8_downward:red_endpoint_horizontal_v3,red_endpoint_horizontal,B,B,1,1,1
BackUp_8_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_8_downward,BackUp_8,downward,gpt,openai/gpt-5,BackUp_8_downward:tool_vertical_direction_v3,tool_vertical_direction,A,A,1,1,1
BackUp_8_downward:gpt:temporal_rollout_images_qualitative_v3,BackUp_8_downward,BackUp_8,downward,gpt,openai/gpt-5,BackUp_8_downward:red_endpoint_horizontal_v3,red_endpoint_horizontal,B,B,1,1,1
